TITLE,ARTIST,LABEL,NO.,YR,ALBUM/CD TITLE,
Agent Orange Blues,"Lee, Virginia et al",JRM,Cas 1978,86,"Vietnam, The Soldier's Story ",
Agent Orange Blues,"Thomas, D. Steven",Sunny Lynn,1A,85,,
Agent Orange Song,"McDonald, Country Joe",One Way,30991,95,Next Stop is Vietnam,
Agent Orange Song,"Walktendonk, Jim",Booney Tunes,CD,89,Red White and Blind,
Agent Orange Song,"Wolf, Kate",Rag Baby,Issue 4,85,Tape Talk ,
Ahn & Le Ly Love Theme,Kitaro,Geffen,24614,93,Heaven & Earth S/T,
Ahn's House,Kitaro,Geffen,24614,93,Heaven & Earth S/T,
Ain't Goin' Back ,"Marx, Jackie",Jackie Marx,Cassette,85,Private Tape,
(Ain't Gonna Let Nobody) Turn Me Around,"Baez, Joan",A&M,LP 3704,76,From Every Stage ,
Ain't Gonna Study War No More,"Dewey, Roger",Design,LP 250,66,Ballad Of The Green Berets,
Ain't Gonna Study War No More,"Ford, Tennessee Ernie",Capitol,,, ,
Ain't Gonna Study War No More,"Messengers, The",Audio Unlimited,6970,, ,
Ain't I Right,"Freedom, Johnny",Sims,296,66, ,
Ain't I Right,"Inman, Autry",Epic ,LP 26428,68,Ballad Of Two Brothers ,
Ain't I Right,"Robbins, Marty",Columbia,43651,66,Atomic Platters ,
Ain't No Fighter Pilots Down In Hell,"Jonas, Dick",Erosonic ,Album 5,97,Nickel On The Grass,
Ain't That A Shame,"Thomas, Don",Probe,466,,,
Ain't Wastin' Time No More,Allman Brothers Band,Capricorn,3,72,A Decade of Hits: 1969-1979 ,
Air Commandos  ,"Droge, Dolf",AFS,"18,978",,Songs by Americans in the Vietnam War,
Air Commandos' Anthem,"Cook, Jim",Taylor Mac,CD,2,The Victors,
Air Corps Lament,"Jonas, Dick",Erosonic ,Album 5,97,Nickel On The Grass,
Air Defense Reunion,"Myer, Jonathan",Border City,SE-8,4,More FAC and Flying Songs,
"Air Strike, Hue",N/A,Pye,# Red 126M,72,,
Air War/1984,Vietnam Veterans Against The War,Rounder,4505,73, ,
Alan's Song,"Segal, Marian",DJM,70027,71,,
Alice's Restaurant Massacree,"Guthrie, Arlo",Reprise,LP 6267,67,Alice's Restaurant ,
Alice's Restaurant Massacree,"Sherman, Garry",UA,50589,69,,
All Along The Watchtower,"Dylan, Bob",Columbia,LP 9604,67,John Wesley Harding ,
All Along The Watchtower,"Hendrix, Jimi",Reprise,LP 6307,68,Electric Ladyland ,
All Along The Watchtower,"Rivera, Peter",Ride to the Wall,CD,5,Ride to the Wall Vol. II,
All Angels Aren't In Heaven,"Barkemeyer, Larry",Bark Moss Ent.,Cassette,97,20 Years Of Tears,
All Day Every Day,"Gumbel, Greg",Meticulous,1,88, ,
All Fall Down,Standells,Tower,,6?, ,
All I Want Is To Be Heard,Kimo,JEIO,LP 1745,86,A Chance To Live,
All Nam'd Out,"Walktendonk, Jim",Booney Tunes,Cassette,97,Edges,
All The Dead Were Strangers,"Atkin, Pete",,,73,A King At Nightfall ,
All The Grey Haired Men,Lettermen,Capitol,2196,68, ,
All The King's Men,"Pollock, Samuel",S. Pollock,Cassette,98,The Walking Wounded,
All The Way ,"Roszsa, Miklos",WB,LP,69,The Green Berets S/T,
All The Way In Mourning,American Dream,Demik,101,7?, ,
All Too Soon,"Allen, Lee",Wand,1126,67, ,
Ally Or Enemy,T.P. & Indians,Dellwood,3239,6?, ,
Almond Eyed Beauty,"Kernoczy, Bill & Nolan, Terry",SLV,CD,99,Strange Land Vietnam,
Almost Cut My Hair,"Crosby, Stills, Nash & Young",Atlantic ,LP 7200,70,Déjà Vu ,
Alone Again,Brother Gregory,NH,72,72, ,
Alone In Vietnam,"Lahr, Bob Hulse-Guy",Throne,102167,67, ,
Alouette,"LeVine, Irv et al",Border City,SE-4,0,Songs From Korat RTAFB,
Als Je Alle Kranten Leest,Jose & Full House,Barclay,60821,67,,
Always Moving Forward,Driven,Driven,CD,9,Grass Roots Patriots The Essence of Freedom,
Am I Ever Gonna See My Baby Again?,"Sweet Inspirations, The",Atlantic,2551,68,Does Anybody Know I'm Here?,
Ambush  ,"Purtell, Jim [v. Dave Collaton]",Stoney Beach Music,CD,12,Vietnam: There & Back,
Ambush 15 Gone,"Duncan, Dean",Dean Duncan,100,6?, ,
Amerasia,"Allen, Terry",Sugar Hill,CD,85,Amerasia,
America,"Bryant, Ardie",AD&A,101,74, ,
America,"Garvey, Mary",Private Tape,Cassette,8?,Mary Garvey,
America,"Jennings, Waylon",RCA,13908,84, ,
America,Josefus,,,70, ,
America,KBC Band,Arista,9572,87, ,
America #1,"Beach, Hank",Contree,1,, ,
America (2nd Amendment),"Nice, The",Immediate,5008,68, ,
America Awaken,Johnnie & Wigg,Echo,1008,66, ,
America Bring Peace,"Lawrence, Jeff",Film City ,3057,6?,,
America Called,Emily & Barb,Self-Released,Download,81, ,
America Called,"Small, Britt & Festival",Max Stout,Fes #7,87,America Called,
"America, Communicate With Me","Stevens, Ray",Barnaby,2016,70, ,
America Is My Country,"Marshall, Gene",Preview,1952,71,,
"America, Land Of The Free","Marshall, Sonny",Air,2504,6?,,
America Loves You,"Scarvelli, Russ & American Dream",DEROS/ETS,8217,82, ,
America Means I'm Free,"Pollock, Samuel",S. Pollock,Cassette,93,Remembering Honor Vietnam,
"America, Now Join Hands","McDowell, Roger",Freedom Ring,618,71, ,
America Number One,"Short, 1st Sgt. Johnny",Clever,No #,,,
America Our Land,"Ritter, Tex",Capitol,LP 2743,69,Sweet Land Of Liberty,
"America, Please Love It Or Leave It",Don & Earl,Gospel Light,193,6?, ,
America Remember Me,"Small, Britt & Festival",Festival,CD 9 ,98,Colors,
America/Standing,Five Stairsteps,Buddah ,188,70,,
America Takes Care Of Its Own,"Allen, Domenick",AVI,332,81,,
"America, Thank A Vet","Parent, Fred",Plain Folk,Cassette,87,"Vet Songs, 1967-1987 ",
"America, War, Crises And Peace","Wilsons, The",Tin Pan Alley,11-383,6?,,
America Will Win,"Howard, O.T.",Key,7515,,,
America You Would Have Been Proud,Cornerstones,Private Tape,PLP 5541,,We The People,
America's Still Beautiful To Me,"Murphy, Pat",Silver Bird,Cassette,94,Spirit of America ,
"American Boy Grows Up, An","Wayne, John",RCA,LP 4828,73,"America, Why I Love Her ",
American Boy Soldiers,Edgar Broughton Band,Capitol,LP SNP-6,70,New Spirit of Capitol ,
"American Draft Dodger In Thunder Bay, An","Roberts, Sam",Universal Canada,CD,6,Chemical City ,
"American Dream, The",Cast,Geffen,9  24271-2,88,Miss Saigon,
"American Dream, The","Marx, Jackie",Visions Unlimited,Cassette,88,The American Dream,
American Eagle Tragedy,Earth Opera,Elektra,45636,69, ,
American Heritage,"Garron, Dave",Halo,114,,,
American Heroes,"Silvers, Don",Step One,349,90, ,
American Heroes,Vettz,Fraternity,3557,90,Next Stop is Vietnam,
American Peace March,"Keith, Rodd",Preview,1599,68,,
American Power,"Wright, Johnny",Decca,34477,66, ,
"American Service Man, The","Stewart, Redd",Nugget,261,67, ,
American Soldier,"Rose, Bobby",Renown,1011,, ,
"American Story, The","Powless, Capt. Gene",Golden Records,105,71, ,
American Trilogy,Kimo,JEIO,LP 1745,86,A Chance To Live,
American Way,"Cummings, Conrad & Bird, Tom",CRI,CD 627,92,Photo-op,
American Woman,Guess Who,RCA,325,70,GH ,
Americans,"MacGregor, Byron",Westbound,222,74, ,
"Americans, The","Ritter, Tex",Capitol,3814,74,Country Shots - God Bless America,
"Americans, The","Sinclair, Gordon",Avco,4628,74,Next Stop is Vietnam,
"Americans - 1979, The","Sinclair, Gordon",Quality,2361,79, ,
"American's Answer, An (To Gordon Sinclair)","Ashman, Charles",Dot,17507,74,Next Stop is Vietnam,
"American's Dream, An","Gober, Hershel",Patriot,LP 91140,69,"Proud American, The",
"Americans Thank You, The","Wade, Ken",Dymar,2,74, ,
"Amerikans, De","Kaplan, Gabe",ABC,12027,74, ,
Amerique Et Vietnam (Sammy Sam),Sangaree,Odeon,MEO 130,75,,
Amhran Gra Vietnam,"Maude, Caitlin",Gael Linn,42,75,,
Amiguito (Little Buddy),"Moorhouse, Alan",Hispa Vox,337-27,66,,
Amnesty,"Combs, Lefty",Alvic,32589,74, ,
Amnesty,Sgt. Larry and the Souljers,Sgt. Larry…,CD,10,Bill The Undeclared War Opera,
Amnesty From America,"Taylor, Jerry",World,1002,73, ,
Among The Best,Driven,Driven,CD,9,Grass Roots Patriots The Essence of Freedom,
Among The Weirdcong,Sodom,Steam Hammer ,CD 72440,1,M-16,
Amsterdam,John & Yoko,Apple,LP 3361,69,Wedding Album,
"Amulet, The/Confidence",Rozsa Miklos,WB,LP,68,The Green Berets S/T,
An Das Kampfende Vietnam,Drum Links,Verlag,V.J.S.3,,,
Ana Ng,They Might Be Giants,Restless Records,CD 72600,88, ,
"Analyst, Analyze","Parent, Fred",Plain Folk,Cassette,87,"Vet Songs, 1967-1987 ",
Anarchy,"Lauber, Ken & Orchestra",RCA,3928,81,Kent State S/T,
Anchors Aweigh,"Lavalle, Paul",RCA,LP 3600,66,Salute To Our Fighting Men In Vietnam,
And Freedom Too,"Frederick, Bill",Crisis Records,LP 001,67,Songs of the U.S. Antiwar Movement,
And The Band Played Waltzing Matilda,"Jonas, Dick",Erosonic ,Disk 6,97,Itazuke Tower,
And The Band Played Waltzing Matilda,"McCann, Michael",MM,CD -001,97,Soldiers' Songs ,
And They Were Five,Zabka,Laurie,3529,70,Next Stop is Vietnam,
And Vietnam Was Over,"Blue Water, Trisha",Independent,CD,11,And Vietnam Was Over,
And When The War Is Over,"McKinlay, Sheila",Columbia,8768,71, ,
Andorra,"Reynolds, Malvina",,,62,,
Andorra,"Seeger, Pete",,,62, ,
Angel In Green,"Lee, Bobby",JRM,LP 4-20-87,87,Vietnam: The Soldier's Story ST ,
Angel Of Jericho,"Pollock, Samuel",S. Pollock,Cassette,98,The Walking Wounded,
Angelina,"Jonas, Dick",Erosonic ,Album 3,97,Two Sides of Dick Jonas,
Angels Among Women,"Edwards, Francis",,CD,8,Vietnam Dreamscape,
Angels Flying Too Close To The Ground,"Nelson, Willy",Columbia,LP 36752,80,Honeysuckle Rose ,
Angels Flying Too Close To The Ground,"Small, Britt & Festival",Fes,#7,87,America Called,
Angles In The Sky,"Baker, Francine ""Peaches""",Columbia,44910,69, ,
Angels On A Wall,"Ferrazano, Phil",Phil Ferrazano,mp3,6,Vietnam Remembered: Songs From The Heart ,
Another Brave Man,"Hanks, Bill",Sparrow,911,6?, ,
Another Christmas Without My Son,"Mays, Rev. Oris",Jewel,155,70, ,
Another Country,Electric Flag,Columbia ,CD 9597,68,Long Time Comin' Home,
Another Day In Hell,"Martin, Michael ",Michael Martin,Cassette,86,Johnny Comes Marchin' Home,
Another Great War To End,"Sullivan, Jeanne",Flag,811,73, ,
Another Lonely Soldier Boy,"Barrett, Hugh",Dynamic Sound,2003,60s, ,
Another Long Night,"Waszkiewicz, M.C. & Jones, L.",Lea Jones Music,CD,7,Selector Switch On (Rock and Roll),
Another Mother's Baby,"Parkays, The",Gateway,4640,6?,,
Another Old Soldier,"Jonas, Dick",Erosonic ,Album 6,97,Itazuke Tower,
Another Piece Of America,"Hileman, Carl",Mi Star,1,85,,
Another Soldier Gone,Question Marks,Swing Time,346,, ,
Another Vietnam,"Burton, Charlie & The Hiccups",Wild,LP 003,85,,
Another Vietnam,Cracked Up!,Blackout Records,CD,5,This Is A Weapon,
Answering Her Letter,"Jorgensen, Sgt. John Peter",Sgt. J.P. Jorgensen,CD,5,Vietnam: A Sublime Homecoming,
Answering The Call (A Soldier's Song),"Whaley, Brian T.",,Download,12,,
Anti Establishment Man,REO Speedwagon,Epic,,71, ,
Anti-Protest Protest Song,"Winters, David",Mercury,72537,66, ,
Anti-Vietnam Songs,"Seeger, Pete",,,68,Pete Seeger Sings and Answers Questions ,
Antiwar Demonstration,Interviews,Scholastic,LP 12004,70,Loyalties: Whose Side Are You On?,
Any Complaints,Original Cast,Gre-Gar,LP 5000,67,Tell Me Lies S/T,
Aquarius/Let The Sunshine In,Fifth Dimension,Soul City,772,69, ,
Are The Good Times Really Over ,"Haggard, Merle",Epic,2894,81,Big City ,
Are They Really Free,"Mote, Danny",Opal,5242,,,
"Are You Bombing With Me, Jesus?","Grant, Shurli",,,69,,
Arkansas Grass,Axiom,Sire,4117,60s, ,
Arlington,"Adkins, Trace",Liberty,CD,5,Songs About Me ,
Arlington,"Pollock, Samuel",S. Pollock,Cassette,98,The Walking Wounded,
Arlington's Gate,"Walktendonk, Jim",Booney Tunes,CD,85,Incoming,
Armagh,Au Pairs,Human ,LP 1,81,Playing With A Different Sex ,
Armed Forces Offering 1968,Christ's Mission…,You Are There!,No #,68,,
Armed Forces Radio,"Revere, Paul & Raiders",Rhino,1005,1,Ride To The Wall,
Armed Recce,"Hughes, Toby",Erosonic ,Album 14,5,Fast and Low,
Army Aviation,Merry Men,Jewel,1,67,Next Stop is Vietnam,
"Army Aviation Song, The","Miller, Mitch & The Sing Along Gang",Army Aviation Assoc.,EP 91399,63,,
Army Blues,"Bland, Bobby ""Blue""",Ace,CH41,63,,
Army Bound,Lois & Karen,Epic,10188,67,Next Stop is Vietnam,
"Army Goes Rolling Along, The","Lavalle, Paul",RCA,LP 3600,66,Salute To Our Fighting Men In Vietnam,
Army Green,"Brooks, Dale",Dolphin,1,64, ,
Army Life (Parts 1 & 2),"Inman, Autry",Risque,104,67,,
Army Life (Parts 1 & 2),"Walker, Howard",Lusty,2,67,,
"Army Life Ain't No Life, The","Mac, Johnny",Crown,LP 510,66,Ballad Of The Green Beret,
Army Man In Vietnam,"Williams, Big Joe",Arhoolie,LP E1121053,69,Shake Your Boogie ,
Army Pilots,High Priced Help,Jewel,2,67,High Priced Help,
"Army Wrote Me A Letter, The","Montgomery, Jerry & The Mont's",Styleway,3465,6?, ,
"Army's Appeal To Mothers, The","Crooke, Raymond",,Download,, ,
"Army's Appeal To Mothers, The","Tomasetti, Glen",MP,57,68,,
"Army's Got Me Crying, The","Duff, Little Brenda",Downbeat,101,65, ,
Article 31,"Allen, Johnny & Valiants",Colt,13534,6?, ,
Article 31,"Allen, SGT J.J.",Lucky Lou,BH 811,6?, ,
Article IV,Good Riddance,Fat Wreck Chords,CD 587,99,Operation Phoenix,
Artificial Army,"Edgar, Jim",Atco - Pompeii,66684,68, ,
ARVN,Kitaro,Geffen,CD 24614,93,Heaven & Earth ST,
As Far As I Can See,"Kernoczy, Bill & Nolan, Terry",SLV,CD,99,Strange Land Vietnam,
As I Look For America's Heart/Kids Song,"Walktendonk, Jim",Booney Tunes,CD,88,On The Mend,
As If Vietnam Never Happened,Nocturnal Emissions,Soleilmoon,CD,3,Collateral Salvage,
As Long As That Black Granite Stands,"Orr, Sid",,CD,13,Vietnam: The Journey,
As We Came Around And Tried To Get Some More,"Barker, Ron",Border City,SE-3,1,FAC Songs from SEA,
As We March To Different Drums,Donafaye,United Artists,50322,68,,
ASA (Army Security Agency),Reel Banditos,The Reel Banditos,CD,8,Indochina,
Asian Orange Sunset,Redgum,,,,,
Ask My Son,"Greene, Lawrence W.",,CD,, ,
Assassination/We Shall Overcome/Vietnam,"Raskin, Marcus",Mapleshade,CD,4,,
At 0700 Tomorrow,Original Cast,,,74,The Lieutenant S/T,
At Mail Call Today,"Dudley, Dave",Mercury ,LP 61057,65,There's A Star Spangled Banner….,
At Mail Call Today,"Mahoney, D. & Clare, J.",Tear Drop,3095,66, ,
At Night,DPG,D.P.G.,1001,1,,
At The Wall,"Price, Chuck",Lost Canyon,137,96,Welcome Home Vietnam ,
At The Wall (A Tribute To Vietnam Veterans),Barbarize,Barbarize,CD,2,Can't Hold Me Back ,
At Vietnam,Courage,D&S Recording,2,86, ,
Atheist,"Warnke, Mike",M. Warnke,Cassette,86,,
Attack,"Mead, Abigail",WB,LP 25613,87,Full Metal Jacket ST ,
Attitude Check,"Genovese, Lem",Vihn Long Army Sur.,Cassette,84,The Viet Vet Tunesmythe,
Attopeu Town,"McKay, Dave",Border City,SE-3,1,FAC Songs from SEA,
"Aussie Bush Hat, The","Richards, Dig",CBS Associated,221372,6?, ,
Autumn Nights (Vietnam),"Crofut, Bill",,mp3,6?,400 Years of Folk Music,
Away From Home,Sgt. Larry and the Souljers,Sgt. Larry…,CD,10,Bill The Undeclared War Opera,
Away From You,"Kline, Phil",Cantaloupe Music,CD 21019,4,Zippo Songs,
Away - I'm Bound Away,"Brown, Pfc. Craig",Select,714,6?, ,
B-52 Crew That Never Returned,"Durham, Bull",Border City,SE-7,4,SOBA-2002,
Ba Muoi Ba,"Rosenberg, Chuck",Flying Fish,70552,91,In Country,
"Babies Of My Lai, The","Burns, Norm & The Satelites",Sterling,547,7?, ,
Back Home,"Sadler, Barry",RCA,LP 3691,67,Back Home,
Back In The States Again,"Forever More, The",RCA,277,74, ,
Back In Vietnam,Complete Control,Oi!,1,85,Bricks Blood N Guts [In 1985],
Back In Vietnam,"Haynes, Alan Ross",Self-Released,CD,8,Next Stop is Vietnam,
Back In Vietnam,"Kravitz, Lenny",Virgin ,,8,It Is Time For A Love Revolution ,
"Back Street, The",Daz Rene,Try Hard,107,?, ,
Back Then,"Logston, Jimmy",J. Logston,CD ,99,Reunion Of Life/Copy,
Back To Blue Jeans Again,"Ross, Bobby",Constellation,CD,88,Voice of America,
Back To The World,Blind Albert,Vincent Gabriel,CD,5,11 Bravo Vietnam,
Back To The World,"Mayfield, Curtis",Curtom,LP 8015,73,Back To The World/Soldier's Sad Story,
Back To Viet Nam,"Bond, Eddie & The Stompers",Millionaire,108,7?, ,
Back To Vietnam,Televison Personalities,Fire,CD 029,82,The Painted Word ,
Backlash Blues,"Seeger, Pete",Columbia,LP 9717,68,Now,
"Backlash Blues, The","Simone, Nina",RCA,LP 3789,67,Nina Simone Sings The Blues ,
Backyard Warriors,"Marx, Jackie",Visions Unlimited,Cassette,88,The American Dream,
Bad Day,Other Half,Radioactive,CD,7,The Other Half ,
Bad News Is Coming,"Allison, Luther",Ruf,CD 1008,96,Luther Allison Live at Mon treux 1976-94 ,
Bad Scene,"Davis, Mac",Capitol,5554,65,,
"Badge Means You Suck, The",AK-47,Pineapple,VRRNP 864,80, ,
Badge Of Courage,"Bridges, Bridget",Bridget,No #,6?, ,
Badge Of Courage,"Lavalle, Paul",RCA,LP 3600,66,Salute To Our Fighting Men In Vietnam,
Badge Of Courage,"Sadler, SSGT Barry",RCA,LP 3547,66,Ballad Of The Green Berets ,
Badge Of Courage,"Trineer, Doug",Point,LP 273,67,The Green Beret,
Bailey's Army,Kimo,JEIO,LP 1745,86,A Chance To Live,
Balada De Las Gorras Verdes,Kuldip,Gamma,07-320,66,,
"Balada De Los Boinas Verdes, La",Kuldip,Hispavox,104,66,,
"Balada De Los Boinas Verdes, La","Moorhouse, Alan",Hispa Vox,337-27,66,,
Balada De Los Boinas Verdes,"Pablo, Juan",Marfer,623,66,,
Balada De Los Boinas Verdes,"Sadler, Sargento Barry",RCA,30152,66,,
Ball Of Confusion,"Starr, Edwin",Gordy,LP 956,71,Involved,
Ball Of Confusion,Temptations,Gordy,7099,70,GH ,
Ballad For A Soldier,"Russell, Leon & Benno, Marc",Shelter,LP 8910,71,Asylum Choir II ,
Ballad For Americans,New Christy Minstrels,Columbia,44528,68, ,
"Ballad From Vietnam, A","Miller, Mitch",Decca,31883,66, ,
"Ballad From Vietnam, A (The Rain On The Leaves)",Addiss & Crofut,Columbia,43744,66, ,
Ballad Of A Blood Trained Killer,"Linde, Dennis",Intrepid,75011,?, ,
Ballad Of A Dying Soldier,"Holder, Buddy",Sarah,101,72, ,
Ballad Of A Soldier,"Appleget, B.K.",Naptown,4012,, ,
Ballad Of Barney,"Hayes, Jerry",Toro,LP 501,70s,Back From Nam,
"Ballad Of Bill White, The","Tomasetti, Glen",W&G,LP 1656,63,,
"Ballad Of Billy Dew, The","Anderson, Larry",Warrior,113,6?, ,
Ballad Of Billy Saigon,Wes & Victoria,Babamuse,CD,7,Next Stop is Vietnam,
"Ballad Of Cassius Clay, The","Proud, Dan",Dan Proud,CD,10,Songs From Nellingen,
Ballad Of Daniel Ellsberg,"Garcia, Rulie",Dore,863,71,,
"Ballad Of Don Liston, The","Walktendonk, Jim",Booney Tunes,Cassette,85,Red White And Blind,
Ballad Of Elroy Schultz,"Walktendonk, Jim",Booney Tunes,Cassette,85,Red White And Blind,
Ballad Of G.W.,MDC,,CD,4,Magnus Dominus Corpus ,
Ballad Of Gene,Dawn,Cadet,5644,69,,
"Ballad Of Ho Chi Minh, The","Dane, Barbara",Paredon,CD,6?, ,
"Ballad Of Ho Chi Minh, The","MacColl, Ewan",Download,CD,54, ,
Ballad Of Jack & Joe,"Allen, Ira",GRC,109,6?, ,
Ballad Of Jeb Stuart,"Jonas, Dick",Erosonic ,Album 3,97,Two Sides of Dick Jonas,
"Ballad Of Jimmy Lee, The","Thompson, Slim & Christian Bros.",Big River,2,, ,
Ballad Of John Wesley,"Morris, Richard",Richard Morris,CD,7,Skytroopers - Songs of War and Peace,
"Ballad Of L.B.J, The","Frankel, Mortimer",,,65,Broadside #62,
"Ballad Of Lt. William Calley, The","Marshall, Gene",Preview,1952,71,,
"Ballad Of Mr. Nixon, The","Masi, Nick",One Way,244,74,,
Ballad Of My Lai,"McKinney, Matt",Danrite,115,71,Next Stop is Vietnam,
"Ballad Of Norman Wilson, The","Walktendonk, Jim",Booney Tunes,Cassette,85,Red White And Blind,
"Ballad Of Otis T. Watson, The","Selvidge, Sid",Enterprise,9005,69,,
